date,celebName
23-Apr-2015,Sawyer Sweeten
30-Apr-2015,David Fonseca
22-Jun-2015,John B. McLemore
01-Sep-2015,Joe Gliniewicz
08-Sep-2015,Joost Zwagerman
18-Sep-2015,Eduardo Bonvallet
19-Sep-2015,Marcin Wrona
05-Oct-2015,Chantal Akerman
26-Oct-2015,Sam Sarpong
01-Nov-2015,Ronald Desruelles
12-Dec-2015,David Lytton
13-Jan-2016,Tera Wray
04-Feb-2016,Dave Mirra
11-Mar-2016,Keith Emerson
01-Apr-2016,Pratyusha Banerjee
10-Jun-2016,Kevin James Loibl
22-Jul-2016,David Sonboly
16-Sep-2016,Norbert Kröcher
16-Sep-2016,Qiao Renliang
25-Nov-2016,David Hamilton
30-Dec-2016,Katelyn Nicole Davis
13-Jan-2017,Mark Fisher
17-Jan-2017,Randy Potter
24-Jan-2017,Butch Trucks
18-Feb-2017,Dan Vickerman
03-Mar-2017,Tommy Page
19-Apr-2017,Aaron Hernandez
23-Apr-2017,František Rajtoral
24-Apr-2017,Michael Mantenuto
30-Apr-2017,Jean Stein
09-May-2017,John Kivela
18-May-2017,Chris Cornell
01-Jul-2017,Stevie Ryan
18-Jul-2017,John Rheinecker
19-Jul-2017,Miguel Blesa
20-Jul-2017,Chester Bennington
14-Aug-2017,Stephen Wooldridge
01-Oct-2017,Stephen Paddock
27-Oct-2017,Deon Stewardson
01-Nov-2017,Brad Bufanda
07-Nov-2017,Carl Sargeant
29-Nov-2017,Slobodan Praljak
05-Dec-2017,August Ames
13-Dec-2017,Dan Johnson
18-Dec-2017,Kim Jonghyun
01-Jan-2018,Jon Paul Steuer
09-Jan-2018,Brandon Hixon
30-Jan-2018,Mark Salling
07-Feb-2018,Jill Messick
07-Mar-2018,Victor Heringer
09-Mar-2018,Jo Min-ki
16-Mar-2018,Arnie Lerma
14-Apr-2018,David Buckel
20-Apr-2018,Tim Bergling aka Avicii
21-Apr-2018,Verne Troyer
10-May-2018,Scott Hutchison
13-May-2018,Margot Kidder
18-May-2018,Stephanie Adams
05-Jun-2018,Kate Spade
08-Jun-2018,Anthony Bourdain
12-Jun-2018,Bhaiyyu Maharaj
23-Jul-2018,Oksana Shachko
25-Jul-2018,Ellie Soutter
05-Aug-2018,Ellen Joyce Loo
23-Oct-2018,Todd Reid
02-Nov-2018,Andrew Urdiales
01-Dec-2018,Scott Stearney
05-Jan-2019,Scott Dozier
16-Jan-2019,Brian Velasco
04-Mar-2019,Keith Flint
07-Mar-2019,Kelly Catlin
15-Mar-2019,Mike Thalassitis
01-Apr-2019,Armando Vega Gil
10-Apr-2019,Irwin L. Jacobs
17-Apr-2019,Alan Garcia
19-Jun-2019,Desmond Amofah aka Etika
07-Aug-2019,David Berman
09-Sep-2019,Danny Frawley
25-Sep-2019,Bhumiphat Hem Nittayarot
14-Oct-2019,Choi Jin-ri
24-Nov-2019,Goo Ha-ra
15-Feb-2020,Caroline Flack